collocate_term,app_in_text,app_in_context,MI
as,405,2,2.072012007292924
he,1233,1,-0.5341669793379281
answer,33,1,4.689395985706458
it,980,1,-0.20284783393765946
be,2505,4,0.4431952169823404
Watson,112,1,2.9264351830073068
refined,1,1,9.73379010506491
coldbloode,1,1,9.73379010506491
deliberate,1,1,9.73379010506491
mur,1,1,9.73379010506491
Uncle,1,1,9.73379010506491
and,1627,2,0.06579156939238331
nephew,1,1,9.73379010506491
have,1225,1,-0.5247759288250218
be,2505,4,0.4431952169823404
the,3329,5,0.35484504481201024
one,247,2,2.7854228734802335
frighten,6,1,7.148827604343754
to,1409,3,0.8582967094764306
death,64,1,3.733790105064911
this,337,2,2.3371853238830527
case,78,1,3.448387886202663
as,405,2,2.072012007292924
one,247,2,2.7854228734802335
of,1593,2,0.09625955353960121
and,1627,2,0.06579156939238331
the,3329,5,0.35484504481201024
evidence,13,1,6.033350386923819
may,98,1,3.119080260949703
implicate,2,1,8.73379010506491
course,27,1,4.978902602901442
there,313,2,2.443771258132293
be,2505,4,0.4431952169823404
the,3329,5,0.35484504481201024
Anderson,1,1,9.73379010506491
in,912,3,1.4858625916213257
North,2,1,8.73379010506491
Carolina,1,1,9.73379010506491
but,400,1,1.0899339152901866
this,337,2,2.3371853238830527
Montpensier,1,1,9.73379010506491
from,286,1,1.5739187682865217
the,3329,5,0.35484504481201024
charge,7,1,6.926435183007307
of,1593,2,0.09625955353960121
which,416,1,1.033350386923819
hang,11,1,6.274358486427613
over,114,1,2.900900090900169
she,207,3,3.6252656482867422
in,912,3,1.4858625916213257
help,49,1,4.119080260949703
we,638,1,0.4163774913000417
much,77,1,3.46700356437001
in,912,3,1.4858625916213257
prove,14,1,5.926435183007307
against,46,1,4.210228149007898
our,206,1,2.0472895778816924
man,218,1,1.9656057802879847
there,313,2,2.443771258132293
seem,73,1,3.543965546184894
she,207,3,3.6252656482867422
the,3329,5,0.35484504481201024
direct,8,1,6.7337901050649105
accessory,1,1,9.73379010506491
to,1409,3,0.8582967094764306
she,207,3,3.6252656482867422
be,2505,4,0.4431952169823404
ready,22,1,5.274358486427614
to,1409,3,0.8582967094764306
warn,8,1,6.7337901050649105
